towerId,latitude,longitude,region,trafficCondition,activeConnections,trafficVolumeMB,callTraffic,peakUsage,blockedRequests,droppedCalls,timestamp,time
Tower-1,12.922915,80.127457,Tambaram,Moderate,1428,496.83,64,1855,3,4,12-12-2024 15:19,15:19:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1958,619.41,51,2273,10,3,12-12-2024 15:29,15:29:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1496,694.05,54,1807,1,2,12-12-2024 15:39,15:39:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1341,518.62,96,1534,4,4,12-12-2024 15:49,15:49:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1463,317.69,74,1795,7,1,12-12-2024 15:59,15:59:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1654,687.94,61,1969,1,0,12-12-2024 16:09,16:09:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1776,667.27,63,2105,1,3,12-12-2024 16:19,16:19:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1625,762.28,73,1828,9,4,12-12-2024 16:29,16:29:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1377,441.74,71,1506,0,0,12-12-2024 16:39,16:39:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1129,286.73,79,1187,6,5,12-12-2024 16:49,16:49:00
Tower-1,12.922915,80.127457,Tambaram,Moderate,1252,324.5,51,1736,3,3,12-12-2024 16:59,16:59:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2010,970.92,81,2192,2,1,12-12-2024 17:09,17:09:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2011,724.73,57,2356,6,4,12-12-2024 17:19,17:19:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2519,805.01,94,2953,4,4,12-12-2024 17:29,17:29:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2378,1112.16,97,2856,6,0,12-12-2024 17:39,17:39:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2927,589.85,95,3353,0,3,12-12-2024 17:49,17:49:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2927,939.26,90,3057,4,3,12-12-2024 17:59,17:59:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2290,512.2,96,2458,8,5,12-12-2024 18:09,18:09:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2373,725.7,83,2738,0,4,12-12-2024 18:19,18:19:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2101,426.54,51,2571,9,1,12-12-2024 18:29,18:29:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2946,1254.26,66,3097,5,1,12-12-2024 18:39,18:39:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2549,657.4,100,2856,3,3,12-12-2024 18:49,18:49:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2087,932.09,70,2566,0,0,12-12-2024 18:59,18:59:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2787,1212,98,2966,8,4,12-12-2024 19:09,19:09:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2907,1206.96,52,3254,10,5,12-12-2024 19:19,19:19:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2760,1321.95,83,2898,4,1,12-12-2024 19:29,19:29:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2337,554.69,100,2441,4,5,12-12-2024 19:39,19:39:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2077,806.14,94,2390,8,3,12-12-2024 19:49,19:49:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2578,710.62,94,2969,5,4,12-12-2024 19:59,19:59:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2242,949.47,74,2296,3,1,12-12-2024 20:09,20:09:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2548,1220,78,2921,10,4,12-12-2024 20:19,20:19:00
Tower-1,12.922915,80.127457,Tambaram,Peak,2827,1083.97,60,2958,8,4,12-12-2024 20:29,20:29:00
